time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2025-02-03,158.56,165.497,158.56,161.632,78299,12655623.968,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-04,168.47,177.785,163.119,177.785,93815,16678899.775,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-05,187.497,195.524,180.957,195.524,66244,12952291.856,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-06,211.083,215.047,201.173,215.047,45478,9779907.466,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-07,235.858,236.552,215.047,220.002,144538,31798649.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-10,223.966,242.002,220.993,239.822,85953,20613420.366,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-11,237.84,239.822,223.173,228.128,58062,13245567.936,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-12,234.372,239.822,224.957,231.002,63792,14736079.584,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-13,237.345,254.092,231.894,254.092,101326,25746125.992,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-14,275.498,279.462,267.57,279.462,64470,18016915.14,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-17,292.048,307.408,287.39,296.805,129421,38412799.905,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-18,316.129,316.129,267.174,267.174,88698,23697799.452,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-19,247.75,257.66,240.516,240.516,40044,9631222.704,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-20,217.029,264.498,216.534,255.282,147515,37657924.23,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-21,255.678,262.318,232.885,234.471,66189,15519401.019,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-24,234.471,234.57,211.083,211.083,173625,36649285.875,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-25,189.975,210.092,189.975,189.975,163368,31035835.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-26,175.407,189.777,171.245,188.29,150821,28398086.09,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-27,188.29,207.119,188.29,207.119,88710,18373526.49,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-28,217.029,224.957,205.137,217.029,123118,26720176.422,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-03,217.029,231.894,217.029,223.173,53870,12022329.51,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-04,225.155,225.155,201.768,216.534,54172,11730079.848,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-05,217.822,225.948,212.272,216.534,45746,9905564.364,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-06,219.903,220.993,202.164,202.66,64634,13098726.44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-07,205.137,208.011,182.74,190.272,116856,22234424.832,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-10,190.272,209.299,190.272,209.299,67232,14071590.368,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-11,210.092,224.957,207.317,207.317,85093,17641225.481000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-12,207.317,213.065,196.218,197.209,70428,13889035.452,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-13,204.047,208.11,187.398,190.272,91904,17486757.888,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-14,196.119,207.218,189.38,203.155,61730,12540758.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-17,203.155,209.101,190.966,192.948,51317,9901512.516,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-18,203.155,203.155,192.155,194.434,41004,7972571.736,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-19,194.434,194.434,178.38,189.777,64789,12295462.053,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-20,190.272,191.263,185.515,187.596,25868,4852733.328,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-21,187.596,192.948,187.596,189.281,25491,4824961.971,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-24,188.29,188.29,180.362,182.84,34006,6217657.04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-25,185.317,188.885,183.137,184.326,44207,8148499.482,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-26,188.092,192.254,186.308,189.281,48353,9152304.193,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-27,189.281,191.759,186.407,188.29,29747,5601062.63,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-28,188.29,191.362,185.515,185.515,24825,4605409.875,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-31,186.011,190.074,183.533,186.11,52604,9790130.44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-01,186.308,204.642,186.308,204.642,80423,16457923.566,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-02,204.642,225.056,204.642,225.056,192379,43296048.224,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-03,225.056,247.552,216.038,247.552,198325,49095750.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-04,272.228,272.228,254.687,254.687,94018,23945162.366,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-08,249.732,249.732,229.218,229.218,16578,3799976.004,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-09,206.326,206.326,206.326,206.326,26697,5508285.222,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-10,187.299,226.939,187.299,226.939,82067,18624202.913,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-11,242.795,244.678,204.245,208.506,112467,23450044.302,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-14,226.146,229.317,209.101,219.011,57453,12582838.983,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-15,221.984,222.876,206.128,213.065,76367,16271134.855,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-16,213.065,215.146,207.119,211.281,30376,6417871.656,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-17,215.047,226.741,211.281,224.957,82827,18632513.439,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-18,227.732,237.84,214.155,214.155,81250,17400093.75,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-21,214.254,220.795,206.425,209.398,56798,11893387.604,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-22,209.398,216.038,188.488,199.092,131026,26086228.392,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-23,200.182,209.993,196.218,199.092,43735,8707288.620000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-24,199.092,204.047,196.218,198.894,30362,6038819.6280000005,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-25,207.02,207.02,194.93,200.182,47514,9511447.548,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-28,198.2,202.164,196.218,196.218,22885,4490448.93,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-29,196.218,198.2,195.227,195.227,25350,4949004.45,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-05,198.696,198.696,189.479,191.461,25623,4905805.203000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-06,191.759,196.218,191.759,193.245,25189,4867648.305,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-07,195.128,195.128,191.858,191.957,16076,3085900.732,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-08,192.254,192.254,186.308,187.299,65061,12185860.239,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-09,187.299,187.993,182.344,187.993,37311,7014206.823,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-12,196.218,196.218,188.29,188.29,24226,4561513.54,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-13,194.137,194.137,188.29,188.885,22403,4231590.655,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-14,190.272,190.272,186.308,186.308,59685,11119792.98,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-15,188.29,189.281,181.551,181.849,69436,12626867.164,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-16,181.849,182.443,168.47,168.47,117145,19735418.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-19,168.47,171.344,157.569,157.569,91632,14438362.608,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-20,158.56,173.326,157.569,173.326,38515,6675650.89,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-21,190.569,190.569,181.353,186.308,119639,22289702.812,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-22,186.308,186.308,173.425,177.686,34228,6081836.408,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-23,177.389,178.38,170.65,171.839,30496,5240402.144,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-26,171.839,175.209,171.443,171.839,26926,4626936.914,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-27,172.335,172.335,158.56,165.398,80909,13382186.782,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-28,168.47,173.821,166.984,166.984,38201,6378955.784,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-29,173.425,176.398,166.488,167.578,12894,2160750.732,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-30,167.578,167.875,164.902,164.902,29126,4802935.652,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-02,160.542,166.29,160.542,161.929,28175,4562349.575,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-03,167.38,167.38,162.821,163.515,12478,2040340.17,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-04,163.515,165.993,163.515,163.713,20546,3363647.298,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-05,163.713,180.065,163.614,179.966,140887,25354869.842,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-06,179.966,182.245,172.434,172.434,30913,5330452.242,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-09,172.434,174.416,163.515,164.506,56913,9362529.978,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-10,164.506,167.578,162.524,163.515,28104,4595425.56,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-11,163.713,170.452,163.515,166.984,20173,3368568.2320000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-12,166.488,167.479,165.002,165.794,12629,2093812.426,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-13,166.984,172.434,165.993,169.461,35263,5975703.243000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-16,169.461,169.461,164.506,167.182,19437,3249516.534,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-17,167.083,168.569,165.695,165.893,23179,3845233.847,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-18,166.488,168.371,166.488,166.984,10201,1703403.784,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-19,166.984,167.38,165.596,167.38,9204,1540565.52,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-20,167.479,167.479,165.596,166.092,16546,2748158.2320000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-23,166.092,166.785,163.515,165.002,19670,3245589.3400000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-24,165.2,166.488,164.407,165.101,18732,3092671.932,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-25,166.29,166.29,163.218,163.515,24852,4063674.78,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-26,163.614,166.488,163.515,163.515,19650,3213069.7499999995,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-27,163.614,164.506,161.929,162.722,35509,5778095.498000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-06-30,161.731,164.506,161.731,162.722,18480,3007102.56,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-01,162.128,163.515,162.128,162.821,14046,2286983.766,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-02,163.515,164.407,162.722,162.722,13507,2197886.054,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-03,163.02,165.101,161.731,162.029,30418,4928598.122,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-04,162.029,163.02,161.533,162.425,23517,3819748.725,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-07,162.524,163.515,162.425,162.524,14568,2367649.632,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-08,162.326,164.011,162.227,162.425,17428,2830742.9000000004,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-09,163.515,172.434,163.515,167.479,101446,16990074.634,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-10,168.47,168.47,165.497,165.497,23523,3892985.931,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-11,166.488,167.975,163.614,165.002,43405,7161911.8100000005,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-14,164.506,164.506,163.218,163.713,32384,5301681.791999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-15,163.515,166.092,163.515,163.812,21048,3447914.9760000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-16,163.515,165.101,163.515,163.812,11435,1873190.22,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-17,163.812,170.848,163.317,166.884,58742,9803099.928,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-18,167.875,177.389,167.875,171.344,52252,8953066.688,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-21,171.344,179.966,171.344,172.434,34911,6019843.374,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-22,176.398,189.677,176.299,189.677,155049,29409229.173,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-23,203.155,208.606,186.308,186.308,63480,11826831.84,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-24,186.308,187.398,174.416,177.29,55374,9817256.46,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-25,178.38,182.245,175.209,176.398,40658,7171989.884,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-28,180.362,180.362,173.425,173.425,80948,14038406.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-29,173.425,173.722,156.083,162.623,80909,13157664.307,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-30,162.623,170.254,162.623,164.308,30404,4995620.432,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-07-31,166.488,166.488,162.029,162.623,41137,6689822.351,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-01,162.128,164.704,161.533,162.623,28369,4613451.887,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-04,166.389,166.389,163.317,165.993,16596,2754819.828,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-05,166.488,167.479,163.515,164.011,34019,5579490.209,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-06,164.011,166.984,164.011,164.704,15363,2530347.552,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-07,166.488,167.875,166.488,166.984,25039,4181112.376,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-08,166.984,167.182,165.497,166.686,21906,3651423.516,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-11,167.479,168.668,165.497,166.488,29252,4870106.976,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-12,167.875,167.875,165.497,165.596,27942,4627083.432,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-13,166.488,166.488,164.506,164.506,35989,5920406.434,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-14,167.2,168.6,164.0,168.6,46289,7804325.399999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-15,169.3,170.2,166.5,166.5,35039,5833993.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-18,166.5,166.5,163.5,164.0,33549,5502036.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-19,164.0,164.0,162.0,162.4,34615,5621476.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-20,162.4,167.0,161.2,163.9,19047,3121803.3000000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-21,166.7,166.7,161.0,161.5,18870,3047505.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-22,161.5,161.5,155.0,157.0,51256,8047192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-25,157.0,160.0,153.1,153.1,10561,1616889.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-26,153.1,153.1,146.8,148.0,40718,6026264.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-27,149.0,160.0,148.6,155.5,26953,4191191.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-28,155.6,157.6,153.1,156.8,20574,3226003.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-08-29,157.0,157.3,153.2,153.2,14686,2249895.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-03,160.0,160.0,155.7,156.0,21502,3354312.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-04,156.5,159.9,156.5,158.5,21299,3375891.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-05,160.0,160.0,157.5,158.0,7816,1234928.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-08,158.0,158.0,153.7,154.0,23474,3614996.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-09,153.9,155.5,152.0,152.3,14127,2151542.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-10,152.3,156.0,152.3,154.8,6548,1013630.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-11,154.8,154.8,148.3,151.0,20180,3047180.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-12,151.1,153.8,151.0,153.0,3476,531828.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-15,152.1,153.8,143.9,152.0,12584,1912768.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-16,154.8,154.8,150.0,150.3,18752,2818425.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-17,150.3,151.5,150.0,150.3,6316,949294.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-18,150.3,153.2,149.9,150.0,9199,1379850.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-19,150.0,152.0,149.5,149.9,2521,377897.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-22,150.0,150.0,145.0,145.0,12778,1852810.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-23,146.0,148.5,144.6,144.6,7317,1058038.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-24,144.7,146.6,143.6,145.0,9003,1305435.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-25,145.0,147.9,145.0,146.0,7811,1140406.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-26,147.6,160.6,146.1,160.6,74939,12035203.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-29,162.0,172.0,160.0,160.8,47548,7645718.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-09-30,160.8,160.8,150.5,156.0,19256,3003936.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-10-01,165.0,165.0,151.9,154.6,20610,3186306.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-10-02,154.6,154.6,148.0,148.0,21131,3127388.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-10-03,148.1,149.0,144.1,145.3,20802,3022530.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-10-06,149.5,149.8,145.2,145.5,16376,2382708.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-10-07,146.0,148.0,145.7,145.7,5918,862252.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-10-08,149.7,149.7,147.2,147.5,15900,2345250.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-10-09,145.0,147.6,145.0,147.3,11900,1752870.0000000002,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-10,150.6,151.0,147.3,149.6,13100,1959760.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-13,157.6,164.5,155.0,164.5,111800,18391100.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-14,169.9,178.0,156.0,164.0,94600,15514400.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-15,158.0,165.0,150.0,154.9,90200,13971980.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-16,154.9,161.8,154.9,157.0,51300,8054100.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-17,160.0,172.7,160.0,172.7,194200,33538340.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-20,172.7,189.9,172.7,178.2,227100,40469220.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-21,182.0,192.5,180.0,182.8,65000,11882000.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-22,181.7,181.7,173.0,180.5,67000,12093500.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-23,180.5,180.5,165.0,165.0,103500,17077500.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-24,165.0,170.4,163.0,165.0,58100,9586500.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-27,165.0,166.0,158.0,158.8,60600,9623280.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-28,158.8,159.3,153.5,159.0,50400,8013600.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-29,159.3,174.9,158.0,164.6,38100,6271260.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-30,164.7,168.5,160.5,160.5,20100,3226050.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-10-31,160.5,164.6,160.0,160.0,48500,7760000.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-03,161.0,167.5,160.0,160.0,64900,10384000.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-04,160.0,160.5,157.0,160.5,28300,4542150.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-05,160.5,160.9,158.3,158.9,29800,4735220.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-06,158.9,163.0,158.9,158.9,31000,4925900.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-07,157.6,158.9,155.0,156.3,34700,5423610.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-10,156.3,156.3,148.4,148.4,78800,11693920.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-11,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,156.0,157.0,152.4,152.8,11400,1741920.0000000002,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-14,155.0,155.0,154.1,154.1,16000,2465600.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-17,154.1,156.0,153.0,154.0,27100,4173400.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-18,154.0,155.0,153.3,153.9,32900,5063310.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-19,156.0,156.0,150.3,152.2,12000,1826400.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-20,152.5,153.5,151.0,151.5,10300,1560450.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-25,148.0,148.5,144.0,144.0,60100,8654400.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-26,144.0,150.0,142.5,146.0,55500,8103000.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-27,146.0,149.1,145.6,148.2,80400,11915280.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-11-28,148.2,148.2,133.4,133.4,382800,51065520.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-01,133.4,133.4,120.1,120.1,248400,29832840.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-02,120.1,120.1,108.5,112.0,163600,18323200.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-03,112.0,123.2,112.0,123.2,66000,8131200.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-04,130.0,134.0,126.2,128.2,105400,13512279.999999998,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-05,128.2,128.7,123.9,124.0,51900,6435600.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-08,124.0,124.2,116.0,118.0,49200,5805600.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-10,115.0,115.0,110.5,110.5,51400,5679700.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-11,110.2,114.0,110.2,112.9,19500,2201550.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-12,115.0,116.5,113.0,113.0,42000,4746000.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-15,114.0,114.0,102.0,106.8,37200,3972960.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-23,93.0,94.8,92.6,92.7,36700,3402090.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-24,92.9,93.4,91.5,92.7,31800,2947860.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-25,92.7,93.2,92.0,92.0,38500,3542000.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-26,92.0,92.0,83.9,88.8,46400,4120320.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-29,88.5,93.0,88.5,91.1,34400,3133840.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-30,91.5,91.5,89.4,89.9,29500,2652050.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
2025-12-31,90.0,98.8,90.0,98.8,71600,7074080.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
